alpha,fold_1,fold_2,fold_3,fold_4
1e-05,0.06088334522792914,0.18524170388737446,-0.24331962325800988,0.4991553976439085
5e-05,0.05199878798704656,0.21101765469766293,-0.2703248826791449,0.4962440614971168
0.0001,-0.004976207747942829,0.24751210212429145,-0.20126620631206554,0.5751002081800642
0.0005,0.13139788949469527,0.3074672405752111,-0.3594303224105947,0.29109835799926803
0.001,0.13871539284725548,0.48670146613144655,-0.5599902581374424,0.41024829995831974
0.005,-0.33084664215688747,0.18813262742443926,-0.2229932899661496,0.09346033640068194
0.01,-0.31184665581653287,0.04594558663862486,-0.4389904447061997,0.2588256192577569
0.05,0.2458569636663694,0.046520099729705194,0.07670761117082707,-0.45530841898235985
0.1,0.0,,,
0.5,0.0,,,
1.0,0.0,,,
5.0,0.0,,,
10.0,0.0,,,
